symbol,split,observations,mrs_threshold,ree_threshold,wds_freeze,wds_unfreeze,eligible_minutes,eligible_rate,freeze_minutes,freeze_rate,unfreeze_minutes,unfreeze_rate
XAUUSD,validation,8643,55,60,80,50,193,0.02233,3,0.00035,7646,0.88465
XAUUSD,validation,8643,60,50,65,35,102,0.0118,44,0.00509,3480,0.40264
XAUUSD,validation,8643,60,50,70,40,102,0.0118,22,0.00255,5080,0.58776
XAUUSD,validation,8643,60,50,75,45,102,0.0118,9,0.00104,6522,0.7546
XAUUSD,validation,8643,60,50,80,50,102,0.0118,3,0.00035,7646,0.88465
XAUUSD,validation,8643,60,55,65,35,101,0.01169,44,0.00509,3480,0.40264
XAUUSD,validation,8643,60,55,70,40,101,0.01169,22,0.00255,5080,0.58776
XAUUSD,validation,8643,60,55,75,45,101,0.01169,9,0.00104,6522,0.7546
XAUUSD,validation,8643,60,55,80,50,101,0.01169,3,0.00035,7646,0.88465
XAUUSD,validation,8643,60,60,65,35,95,0.01099,44,0.00509,3480,0.40264
XAUUSD,validation,8643,60,60,70,40,95,0.01099,22,0.00255,5080,0.58776
XAUUSD,validation,8643,60,60,75,45,95,0.01099,9,0.00104,6522,0.7546
XAUUSD,validation,8643,60,60,80,50,95,0.01099,3,0.00035,7646,0.88465
XAUUSD,validation,8643,65,50,65,35,41,0.00474,44,0.00509,3480,0.40264
XAUUSD,validation,8643,65,50,70,40,41,0.00474,22,0.00255,5080,0.58776
XAUUSD,validation,8643,65,50,75,45,41,0.00474,9,0.00104,6522,0.7546
XAUUSD,validation,8643,65,50,80,50,41,0.00474,3,0.00035,7646,0.88465
XAUUSD,validation,8643,65,55,65,35,40,0.00463,44,0.00509,3480,0.40264
XAUUSD,validation,8643,65,55,70,40,40,0.00463,22,0.00255,5080,0.58776
XAUUSD,validation,8643,65,55,75,45,40,0.00463,9,0.00104,6522,0.7546
XAUUSD,validation,8643,65,55,80,50,40,0.00463,3,0.00035,7646,0.88465
XAUUSD,validation,8643,65,60,65,35,37,0.00428,44,0.00509,3480,0.40264
XAUUSD,validation,8643,65,60,70,40,37,0.00428,22,0.00255,5080,0.58776
XAUUSD,validation,8643,65,60,75,45,37,0.00428,9,0.00104,6522,0.7546
XAUUSD,validation,8643,65,60,80,50,37,0.00428,3,0.00035,7646,0.88465
