symbol,scenario,start,end,duration_minutes,mean_mrs,mean_wds,mean_ree_proxy
XAUUSD,TRANSITION,2026-01-06 20:38:00,2026-01-06 20:38:00,1,36.72,44.62,50.05
XAUUSD,WIDE_RANGE,2026-01-06 20:39:00,2026-01-06 20:41:00,3,34.15,52.65,45.73
XAUUSD,TRANSITION,2026-01-06 20:42:00,2026-01-06 21:23:00,42,31.47,42.68,47.67
XAUUSD,TIGHT_RANGE,2026-01-06 21:24:00,2026-01-06 21:24:00,1,22.73,50.27,41.96
XAUUSD,TRANSITION,2026-01-06 21:25:00,2026-01-06 21:29:00,5,28.57,38.31,49.58
XAUUSD,TIGHT_RANGE,2026-01-06 21:30:00,2026-01-06 21:30:00,1,23.19,50.94,43.5
XAUUSD,TRANSITION,2026-01-06 21:31:00,2026-01-06 21:35:00,5,26.06,44.08,47.8
XAUUSD,LOW_LIQUIDITY,2026-01-06 21:36:00,2026-01-06 21:36:00,1,31.2,34.6,53.51
XAUUSD,TIGHT_RANGE,2026-01-06 21:37:00,2026-01-06 21:37:00,1,22.59,39.81,47.78
XAUUSD,LOW_LIQUIDITY,2026-01-06 21:38:00,2026-01-06 21:38:00,1,29.29,33.26,53.11
XAUUSD,TRANSITION,2026-01-06 21:39:00,2026-01-06 22:36:00,58,23.95,38.88,49.16
XAUUSD,TIGHT_RANGE,2026-01-06 22:37:00,2026-01-06 22:41:00,5,23.11,41.41,47.82
XAUUSD,TRANSITION,2026-01-06 22:42:00,2026-01-06 22:42:00,1,18.96,42.27,45.52
